Ep ep_000601.20 | Time 1:42.99 | Steps  4920 | Reward  240950.7 | Avg(10)  242577.2 | Dist   1970m ( 63.6%) | Buf  88.9% | Total  444414 | End: off_track
Ep ep_000602.20 | Time 1:43.50 | Steps  4943 | Reward  242204.9 | Avg(10)  243506.0 | Dist   1973m ( 63.6%) | Buf  89.9% | Total  449357 | End: off_track
Ep ep_000603.20 | Time 1:45.32 | Steps  5026 | Reward  246194.4 | Avg(10)  244322.1 | Dist   1974m ( 63.7%) | Buf  90.9% | Total  454383 | End: off_track
Ep ep_000604.20 | Time 1:45.79 | Steps  5047 | Reward  247805.2 | Avg(10)  241978.1 | Dist   1980m ( 63.9%) | Buf  91.9% | Total  459430 | End: off_track
Ep ep_000605.20 | Time 1:44.25 | Steps  4977 | Reward  244071.4 | Avg(10)  239648.3 | Dist   1973m ( 63.6%) | Buf  92.9% | Total  464407 | End: off_track
Ep ep_000606.20 | Time 1:42.75 | Steps  4909 | Reward  240854.6 | Avg(10)  240082.1 | Dist   1973m ( 63.6%) | Buf  93.9% | Total  469316 | End: off_track
Ep ep_000607.20 | Time 0:02.62 | Steps   176 | Reward    2182.0 | Avg(10)  216427.3 | Dist     10m (  0.3%) | Buf  93.9% | Total  469492 | End: too_slow
Ep ep_000608.20 | Time 1:47.24 | Steps  5113 | Reward  248334.9 | Avg(10)  218106.5 | Dist   1977m ( 63.8%) | Buf  94.9% | Total  474605 | End: off_track
Ep ep_000609.20 | Time 0:02.38 | Steps   165 | Reward    1756.5 | Avg(10)  195158.9 | Dist     10m (  0.3%) | Buf  95.0% | Total  474770 | End: too_slow
Ep ep_000610.20 | Time 0:02.38 | Steps   165 | Reward    1750.6 | Avg(10)  171610.5 | Dist     10m (  0.3%) | Buf  95.0% | Total  474935 | End: too_slow
Ep ep_000611.20 | Time 1:56.76 | Steps  5546 | Reward  247197.9 | Avg(10)  172235.2 | Dist   1972m ( 63.6%) | Buf  96.1% | Total  480481 | End: off_track
Ep ep_000612.20 | Time 1:58.50 | Steps  5625 | Reward  257702.6 | Avg(10)  173785.0 | Dist   1974m ( 63.7%) | Buf  97.2% | Total  486106 | End: off_track
Ep ep_000613.20 | Time 1:49.15 | Steps  5200 | Reward  255031.3 | Avg(10)  174668.7 | Dist   1974m ( 63.7%) | Buf  98.3% | Total  491306 | End: off_track
Ep ep_000614.20 | Time 1:52.45 | Steps  5350 | Reward  263045.6 | Avg(10)  176192.7 | Dist   1978m ( 63.8%) | Buf  99.3% | Total  496656 | End: off_track
Ep ep_000615.20 | Time 2:34.23 | Steps  7368 | Reward  359219.4 | Avg(10)  187707.5 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  504024 | End: off_track
Ep ep_000616.20 | Time 2:53.23 | Steps  8318 | Reward  377068.8 | Avg(10)  201328.9 | Dist   2776m ( 89.5%) | Buf 100.0% | Total  512342 | End: off_track
Ep ep_000617.20 | Time 2:51.65 | Steps  8239 | Reward  339448.6 | Avg(10)  235055.6 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  520581 | End: off_track
Ep ep_000618.20 | Time 2:36.07 | Steps  7460 | Reward  341845.9 | Avg(10)  244406.7 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  528041 | End: off_track
Ep ep_000619.20 | Time 2:38.51 | Steps  7582 | Reward  358008.4 | Avg(10)  280031.9 | Dist   2280m ( 73.5%) | Buf 100.0% | Total  535623 | End: off_track
Ep ep_000620.20 | Time 2:41.47 | Steps  7730 | Reward  358578.4 | Avg(10)  315714.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  543353 | End: off_track
Ep ep_000621.20 | Time 2:41.31 | Steps  7722 | Reward  359492.0 | Avg(10)  326944.1 | Dist   2274m ( 73.3%) | Buf 100.0% | Total  551075 | End: off_track
Ep ep_000622.20 | Time 2:14.97 | Steps  6405 | Reward  302620.8 | Avg(10)  331435.9 | Dist   1894m ( 61.1%) | Buf 100.0% | Total  557480 | End: too_slow
Ep ep_000623.20 | Time 2:35.91 | Steps  7452 | Reward  363608.7 | Avg(10)  342293.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  564932 | End: off_track
Ep ep_000624.20 | Time 2:31.61 | Steps  7237 | Reward  356123.6 | Avg(10)  351601.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  572169 | End: off_track
Ep ep_000625.20 | Time 2:13.49 | Steps  6331 | Reward  310701.6 | Avg(10)  346749.7 | Dist   1992m ( 64.3%) | Buf 100.0% | Total  578500 | End: off_track
Ep ep_000626.20 | Time 2:55.51 | Steps  8432 | Reward  415745.2 | Avg(10)  350617.3 | Dist   2784m ( 89.8%) | Buf 100.0% | Total  586932 | End: off_track
Ep ep_000627.20 | Time 3:13.76 | Steps  9345 | Reward  466844.4 | Avg(10)  363356.9 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  596277 | End: finished
Ep ep_000628.20 | Time 2:34.43 | Steps  7378 | Reward  360827.6 | Avg(10)  365255.1 | Dist   2269m ( 73.2%) | Buf 100.0% | Total  603655 | End: off_track
Ep ep_000629.20 | Time 3:09.50 | Steps  9132 | Reward  456681.0 | Avg(10)  375122.3 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  612787 | End: finished
Ep ep_000630.20 | Time 2:27.99 | Steps  7056 | Reward  347996.9 | Avg(10)  374064.2 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  619843 | End: off_track
Ep ep_000631.20 | Time 3:02.62 | Steps  8788 | Reward  439836.7 | Avg(10)  382098.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  628631 | End: finished
Ep ep_000632.20 | Time 2:59.29 | Steps  8622 | Reward  431381.3 | Avg(10)  394974.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  637253 | End: finished
Ep ep_000633.20 | Time 2:55.93 | Steps  8454 | Reward  423155.7 | Avg(10)  400929.4 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  645707 | End: finished
Ep ep_000634.20 | Time 2:53.14 | Steps  8314 | Reward  415971.7 | Avg(10)  406914.2 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  654021 | End: finished
Ep ep_000635.20 | Time 2:18.45 | Steps  6579 | Reward  324142.1 | Avg(10)  408258.3 | Dist   2399m ( 77.4%) | Buf 100.0% | Total  660600 | End: off_track
Ep ep_000636.20 | Time 2:08.67 | Steps  6090 | Reward  300037.1 | Avg(10)  396687.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  666690 | End: off_track
Ep ep_000637.20 | Time 1:57.60 | Steps  5584 | Reward  272794.1 | Avg(10)  377282.4 | Dist   2026m ( 65.4%) | Buf 100.0% | Total  672274 | End: off_track
Ep ep_000638.20 | Time 2:08.21 | Steps  6067 | Reward  298884.4 | Avg(10)  371088.1 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  678341 | End: off_track
Ep ep_000639.20 | Time 2:27.69 | Steps  7041 | Reward  346175.2 | Avg(10)  360037.5 | Dist   2779m ( 89.7%) | Buf 100.0% | Total  685382 | End: off_track
Ep ep_000640.20 | Time 2:28.17 | Steps  7065 | Reward  347819.3 | Avg(10)  360019.8 | Dist   2773m ( 89.5%) | Buf 100.0% | Total  692447 | End: off_track
Ep ep_000641.20 | Time 2:32.03 | Steps  7258 | Reward  357310.2 | Avg(10)  351767.1 | Dist   2766m ( 89.2%) | Buf 100.0% | Total  699705 | End: off_track
Ep ep_000642.20 | Time 2:32.93 | Steps  7303 | Reward  359558.9 | Avg(10)  344584.9 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  707008 | End: off_track
Ep ep_000643.20 | Time 2:36.99 | Steps  7506 | Reward  369770.2 | Avg(10)  339246.3 | Dist   2771m ( 89.4%) | Buf 100.0% | Total  714514 | End: off_track
Ep ep_000644.20 | Time 2:38.29 | Steps  7571 | Reward  372868.5 | Avg(10)  334936.0 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  722085 | End: off_track
Ep ep_000645.20 | Time 2:37.21 | Steps  7517 | Reward  370465.6 | Avg(10)  339568.4 | Dist   2778m ( 89.6%) | Buf 100.0% | Total  729602 | End: off_track
Ep ep_000646.20 | Time 2:40.21 | Steps  7667 | Reward  378352.8 | Avg(10)  347399.9 | Dist   2789m ( 90.0%) | Buf 100.0% | Total  737269 | End: off_track
Ep ep_000647.20 | Time 2:45.15 | Steps  7914 | Reward  389277.4 | Avg(10)  359048.2 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  745183 | End: off_track
  [ai-swap] loaded models/episodes/ep_000634.20 | new branch=21 | next=ep_000635.21
Ep ep_000635.21 | Time 2:12.49 | Steps  6281 | Reward  309421.0 | Avg(10)  309421.0 | Dist   2274m ( 73.4%) | Buf   1.3% | Total  751464 | End: off_track
Ep ep_000636.21 | Time 2:28.25 | Steps  7069 | Reward  347914.6 | Avg(10)  328667.8 | Dist   2272m ( 73.3%) | Buf   2.7% | Total  758533 | End: off_track
Ep ep_000637.21 | Time 2:45.59 | Steps  7936 | Reward  390235.7 | Avg(10)  349190.4 | Dist   2771m ( 89.4%) | Buf   4.3% | Total  766469 | End: off_track
Ep ep_000638.21 | Time 2:38.77 | Steps  7595 | Reward  372262.9 | Avg(10)  354958.6 | Dist   2765m ( 89.2%) | Buf   5.8% | Total  774064 | End: off_track
Ep ep_000639.21 | Time 2:41.79 | Steps  7746 | Reward  381042.7 | Avg(10)  360175.4 | Dist   2767m ( 89.3%) | Buf   7.3% | Total  781810 | End: off_track
Ep ep_000640.21 | Time 1:28.89 | Steps  4279 | Reward  207960.9 | Avg(10)  334806.3 | Dist   1171m ( 37.8%) | Buf   8.2% | Total  786089 | End: off_track
Ep ep_000641.21 | Time 2:46.61 | Steps  7987 | Reward  392130.5 | Avg(10)  342995.5 | Dist   2768m ( 89.3%) | Buf   9.8% | Total  794076 | End: off_track
Ep ep_000642.21 | Time 1:40.70 | Steps  4816 | Reward  235297.4 | Avg(10)  329533.2 | Dist   1443m ( 46.5%) | Buf  10.7% | Total  798892 | End: off_track
Ep ep_000643.21 | Time 2:47.17 | Steps  8015 | Reward  390739.2 | Avg(10)  336333.9 | Dist   2770m ( 89.4%) | Buf  12.3% | Total  806907 | End: off_track
Ep ep_000644.21 | Time 3:01.39 | Steps  8727 | Reward  433363.2 | Avg(10)  346036.8 | Dist   3000m ( 96.8%) | Buf  14.1% | Total  815634 | End: finished
Ep ep_000645.21 | Time 2:42.31 | Steps  7772 | Reward  379848.3 | Avg(10)  353079.5 | Dist   2773m ( 89.4%) | Buf  15.6% | Total  823406 | End: off_track
Ep ep_000646.21 | Time 1:57.53 | Steps  5581 | Reward  274573.0 | Avg(10)  345745.4 | Dist   1973m ( 63.6%) | Buf  16.8% | Total  828987 | End: off_track
Ep ep_000647.21 | Time 1:52.91 | Steps  5371 | Reward  261812.1 | Avg(10)  332903.0 | Dist   1952m ( 63.0%) | Buf  17.8% | Total  834358 | End: off_track
Ep ep_000648.21 | Time 1:53.55 | Steps  5400 | Reward  263254.0 | Avg(10)  322002.1 | Dist   1970m ( 63.5%) | Buf  18.9% | Total  839758 | End: off_track
Ep ep_000649.21 | Time 1:13.27 | Steps  3569 | Reward  172541.2 | Avg(10)  301152.0 | Dist   1097m ( 35.4%) | Buf  19.6% | Total  843327 | End: too_slow
Ep ep_000650.21 | Time 2:31.31 | Steps  7222 | Reward  353747.1 | Avg(10)  315730.6 | Dist   2772m ( 89.4%) | Buf  21.1% | Total  850549 | End: off_track
Ep ep_000651.21 | Time 2:34.17 | Steps  7365 | Reward  362002.2 | Avg(10)  312717.8 | Dist   2775m ( 89.5%) | Buf  22.5% | Total  857914 | End: off_track
Ep ep_000652.21 | Time 2:54.11 | Steps  8363 | Reward  417822.2 | Avg(10)  330970.2 | Dist   2999m ( 96.8%) | Buf  24.2% | Total  866277 | End: finished
Ep ep_000653.21 | Time 1:20.82 | Steps  3912 | Reward  188941.1 | Avg(10)  310790.4 | Dist   1104m ( 35.6%) | Buf  25.0% | Total  870189 | End: too_slow
Ep ep_000654.21 | Time 2:39.01 | Steps  7607 | Reward  375205.5 | Avg(10)  304974.7 | Dist   2780m ( 89.7%) | Buf  26.5% | Total  877796 | End: off_track
Ep ep_000655.21 | Time 2:41.09 | Steps  7711 | Reward  378061.9 | Avg(10)  304796.0 | Dist   2779m ( 89.6%) | Buf  28.1% | Total  885507 | End: off_track
Ep ep_000656.21 | Time 2:42.73 | Steps  7793 | Reward  381054.8 | Avg(10)  315444.2 | Dist   2779m ( 89.6%) | Buf  29.6% | Total  893300 | End: off_track
Ep ep_000657.21 | Time 2:45.29 | Steps  7921 | Reward  389311.0 | Avg(10)  328194.1 | Dist   2775m ( 89.5%) | Buf  31.2% | Total  901221 | End: off_track
Ep ep_000658.21 | Time 2:39.15 | Steps  7614 | Reward  373951.4 | Avg(10)  339263.8 | Dist   2774m ( 89.5%) | Buf  32.7% | Total  908835 | End: off_track
Ep ep_000659.21 | Time 2:35.63 | Steps  7438 | Reward  367180.0 | Avg(10)  358727.7 | Dist   2777m ( 89.6%) | Buf  34.2% | Total  916273 | End: off_track
Ep ep_000660.21 | Time 2:39.87 | Steps  7650 | Reward  376998.1 | Avg(10)  361052.8 | Dist   2781m ( 89.7%) | Buf  35.7% | Total  923923 | End: off_track
Ep ep_000661.21 | Time 3:03.05 | Steps  8810 | Reward  440780.1 | Avg(10)  368930.6 | Dist   2999m ( 96.8%) | Buf  37.5% | Total  932733 | End: finished
Ep ep_000662.21 | Time 3:02.39 | Steps  8777 | Reward  437425.2 | Avg(10)  370890.9 | Dist   3000m ( 96.8%) | Buf  39.3% | Total  941510 | End: finished
Ep ep_000663.21 | Time 3:05.27 | Steps  8921 | Reward  444938.3 | Avg(10)  396490.6 | Dist   3000m ( 96.8%) | Buf  41.0% | Total  950431 | End: finished
Ep ep_000664.21 | Time 3:16.63 | Steps  9489 | Reward  468252.2 | Avg(10)  405795.3 | Dist   3000m ( 96.8%) | Buf  42.9% | Total  959920 | End: finished
Ep ep_000665.21 | Time 3:19.86 | Steps  9650 | Reward  472800.9 | Avg(10)  415269.2 | Dist   3000m ( 96.8%) | Buf  44.9% | Total  969570 | End: finished
Ep ep_000666.21 | Time 0:43.27 | Steps  2111 | Reward  100555.6 | Avg(10)  387219.3 | Dist    262m (  8.4%) | Buf  45.3% | Total  971681 | End: off_track
Ep ep_000667.21 | Time 0:43.21 | Steps  2108 | Reward  100032.0 | Avg(10)  358291.4 | Dist    268m (  8.6%) | Buf  45.7% | Total  973789 | End: off_track
Ep ep_000668.21 | Time 0:40.57 | Steps  1976 | Reward   93795.8 | Avg(10)  330275.8 | Dist    258m (  8.3%) | Buf  46.1% | Total  975765 | End: off_track
Ep ep_000669.21 | Time 0:40.97 | Steps  1996 | Reward   94776.1 | Avg(10)  303035.4 | Dist    258m (  8.3%) | Buf  46.5% | Total  977761 | End: off_track
Ep ep_000670.21 | Time 0:38.67 | Steps  1881 | Reward   88893.6 | Avg(10)  274225.0 | Dist    252m (  8.1%) | Buf  46.9% | Total  979642 | End: off_track
Ep ep_000671.21 | Time 0:39.51 | Steps  1923 | Reward   91056.0 | Avg(10)  239252.6 | Dist    250m (  8.1%) | Buf  47.3% | Total  981565 | End: off_track
Ep ep_000672.21 | Time 0:17.95 | Steps   909 | Reward   40854.2 | Avg(10)  199595.5 | Dist     10m (  0.3%) | Buf  47.5% | Total  982474 | End: off_track
Ep ep_000673.21 | Time 0:16.80 | Steps   857 | Reward   33281.4 | Avg(10)  158429.8 | Dist     10m (  0.3%) | Buf  47.6% | Total  983331 | End: too_slow
Ep ep_000674.21 | Time 0:40.03 | Steps  1949 | Reward   92479.4 | Avg(10)  120852.5 | Dist    247m (  8.0%) | Buf  48.0% | Total  985280 | End: off_track
Ep ep_000675.21 | Time 0:41.57 | Steps  2026 | Reward   95879.8 | Avg(10)   83160.4 | Dist    207m (  6.7%) | Buf  48.4% | Total  987306 | End: off_track
Ep ep_000676.21 | Time 0:44.83 | Steps  2189 | Reward  102082.2 | Avg(10)   83313.1 | Dist    272m (  8.8%) | Buf  48.9% | Total  989495 | End: off_track
Ep ep_000677.21 | Time 0:47.23 | Steps  2309 | Reward  105940.8 | Avg(10)   83903.9 | Dist    248m (  8.0%) | Buf  49.3% | Total  991804 | End: off_track
Ep ep_000678.21 | Time 0:45.37 | Steps  2216 | Reward  103035.3 | Avg(10)   84827.9 | Dist    258m (  8.3%) | Buf  49.8% | Total  994020 | End: off_track
